Segment            Xf       Yf     Ztop     Zbot         Width   strike     dip      Rake     U.ss     U.ds     U.te       U.tot  Length   d1/d2   Afac    Area                                         
GF  1 2 1 7 1  178.741  -39.169    3.000    3.750    5.628  196.808    7.658    0.000    0.000    0.000    0.000    0.000    5.330    0.000    0.984   29.506
GF  1 2 1 7 2  178.687  -39.137    3.750    4.500    5.628  197.637    7.658    0.000    0.000    0.000    0.000    0.000    5.305    0.000    0.989   29.530
GF  1 2 1 7 3  178.634  -39.106    4.500    5.250    5.628  198.465    7.658    0.000    0.000    0.000    0.000    0.000    5.281    0.000    0.994   29.553
GF  1 2 1 7 4  178.580  -39.074    5.250    6.000    5.628  199.293    7.658    0.000    0.000    0.000    0.000    0.000    5.259    0.000    0.999   29.577
GF  1 2 1 8 1  178.723  -39.214    3.000    3.750    5.708  196.808    7.550    0.000    0.000    0.000    0.000    0.000    5.330    0.000    0.982   29.884
GF  1 2 1 8 2  178.668  -39.183    3.750    4.500    5.708  197.637    7.550    0.000    0.000    0.000    0.000    0.000    5.305    0.000    0.988   29.908
GF  1 2 1 8 3  178.614  -39.151    4.500    5.250    5.708  198.465    7.550    0.000    0.000    0.000    0.000    0.000    5.281    0.000    0.993   29.932
GF  1 2 1 8 4  178.559  -39.119    5.250    6.000    5.708  199.293    7.550    0.000    0.000    0.000    0.000    0.000    5.258    0.000    0.998   29.956
GF  1 2 1 9 1  178.705  -39.260    3.000    3.750    5.791  196.808    7.442    0.000    0.000    0.000    0.000    0.000    5.330    0.000    0.981   30.261
GF  1 2 1 9 2  178.649  -39.228    3.750    4.500    5.791  197.637    7.442    0.000    0.000    0.000    0.000    0.000    5.305    0.000    0.986   30.286
GF  1 2 1 9 3  178.594  -39.196    4.500    5.250    5.791  198.465    7.442    0.000    0.000    0.000    0.000    0.000    5.281    0.000    0.991   30.310
GF  1 2 1 9 4  178.539  -39.163    5.250    6.000    5.791  199.293    7.442    0.000    0.000    0.000    0.000    0.000    5.258    0.000    0.996   30.334
GF  1 2 110 1  178.686  -39.306    3.000    3.750    5.876  196.808    7.334    0.000    0.000    0.000    0.000    0.000    5.329    0.000    0.978   30.638
GF  1 2 110 2  178.630  -39.273    3.750    4.500    5.876  197.637    7.334    0.000    0.000    0.000    0.000    0.000    5.304    0.000    0.984   30.663
GF  1 2 110 3  178.574  -39.241    4.500    5.250    5.876  198.465    7.334    0.000    0.000    0.000    0.000    0.000    5.280    0.000    0.989   30.687
GF  1 2 110 4  178.518  -39.208    5.250    6.000    5.876  199.293    7.334    0.000    0.000    0.000    0.000    0.000    5.258    0.000    0.994   30.712
GF  1 3 1 1 1  178.680  -39.358    3.000    3.600    4.809  196.769    7.167    0.000    0.000    0.000    0.000    0.000    5.272    0.000    0.973   24.666
GF  1 3 1 1 2  178.634  -39.332    3.600    4.200    4.809  197.916    7.167    0.000    0.000    0.000    0.000    0.000    5.251    0.000    0.980   24.745
GF  1 3 1 1 3  178.589  -39.305    4.200    4.800    4.809  199.064    7.167    0.000    0.000    0.000    0.000    0.000    5.231    0.000    0.987   24.825
GF  1 3 1 1 4  178.543  -39.279    4.800    5.400    4.809  200.212    7.167    0.000    0.000    0.000    0.000    0.000    5.214    0.000    0.993   24.905
GF  1 3 1 1 5  178.498  -39.252    5.400    6.000    4.809  201.360    7.167    0.000    0.000    0.000    0.000    0.000    5.199    0.000    0.999   24.985
GF  1 3 1 2 1  178.661  -39.403    3.000    3.600    4.901  196.769    7.032    0.000    0.000    0.000    0.000    0.000    5.272    0.000    0.975   25.192
GF  1 3 1 2 2  178.615  -39.376    3.600    4.200    4.901  197.916    7.032    0.000    0.000    0.000    0.000    0.000    5.251    0.000    0.982   25.273
